kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,tahun,persen_kelahiran
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2005,45.36
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2006,55.44
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2007,49.04
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2008,41.79
11,"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue",2009,47.23
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2005,39.16
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2006,52.94
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2007,51.09
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2008,60.59
11,"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil",2009,47.03
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2005,44.49
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2006,36.88
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2007,47.57
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2008,58.71
11,"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan",2009,70
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2005,59.62
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2006,56.37
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2007,70.08
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2008,72.14
11,"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara",2009,89.26
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2005,64.43
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2006,70.49
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2007,69.07
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2008,80.88
11,"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur",2009,66.21
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2005,76.16
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2006,65.48
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2007,86.11
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2008,79.96
11,"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah",2009,85.32
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2005,53.93
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2006,48.19
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2007,49.54
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2008,46.51
11,"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat",2009,29.02
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2005,97.27
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2006,95.75
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2007,94.73
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2008,90.3
11,"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar",2009,68.98
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2005,86.26
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2006,78.88
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2007,86.7
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2008,91.15
11,"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie",2009,69.57
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2005,82.76
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2006,75.79
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2007,84.48
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2008,81.98
11,"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen",2009,72.32
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2005,70.11
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2006,54.26
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2007,81.22
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2008,73.55
11,"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara",2009,84.25
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2005,72.11
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2006,73.54
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2007,61.01
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2008,76.24
11,"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya",2009,60.39
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2005,63.44
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2006,42.17
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2007,33.03
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2008,44.3
11,"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues",2009,24.55
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2005,72.36
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2006,81.94
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2007,71.15
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2008,85.58
11,"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang",2009,94.12
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2005,54.55
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2006,56.52
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2007,73.13
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2008,42.48
11,"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya",2009,58.41
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2005,49.61
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2006,63.01
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2007,68.94
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2008,63.29
11,"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya",2009,44.79
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2005,71.47
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2006,82.58
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2007,79.53
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2008,85.14
11,"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah",2009,87.75
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2005,0
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2006,0
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2007,91.48
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2008,88.02
11,"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya",2009,95.42
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2005,97.45
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2006,99.25
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2007,98.98
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2008,100
11,"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh",2009,100
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2005,92.42
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2006,86.82
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2007,96.09
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2008,95.29
11,"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang",2009,96.23
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2005,82.16
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2006,91.25
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2007,96.75
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2008,96.3
11,"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa",2009,96.19
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2005,94.12
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2006,90.06
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2007,96.99
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2008,96.33
11,"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe",2009,93.42
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2005,0
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2006,0
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2007,66.59
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2008,54.92
11,"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam",2009,71.16
12,"Prov. Sumatera Utara",1201,"Kab. Nias",2005,47.83
12,"Prov. Sumatera Utara",1201,"Kab. Nias",2006,41.97
12,"Prov. Sumatera Utara",1201,"Kab. Nias",2007,42.41
12,"Prov. Sumatera Utara",1201,"Kab. Nias",2008,43.77
12,"Prov. Sumatera Utara",1201,"Kab. Nias",2009,29.83
12,"Prov. Sumatera Utara",1202,"Kab. Mandailing Natal",2005,38.48
12,"Prov. Sumatera Utara",1202,"Kab. Mandailing Natal",2006,30.02
12,"Prov. Sumatera Utara",1202,"Kab. Mandailing Natal",2007,47.12
12,"Prov. Sumatera Utara",1202,"Kab. Mandailing Natal",2008,49.69
12,"Prov. Sumatera Utara",1202,"Kab. Mandailing Natal",2009,46.57
12,"Prov. Sumatera Utara",1203,"Kab. Tapanuli Selatan",2005,60.48
