	kode_provinsi	nama_provinsi	kode_kabkota	nama_kabkota	tahun	persen_kelahiran
4	11	Prov. Nanggroe Aceh Darussalam	1101	Kab. Simeulue	2009	47.23
9	11	Prov. Nanggroe Aceh Darussalam	1102	Kab. Aceh Singkil	2009	47.03
14	11	Prov. Nanggroe Aceh Darussalam	1103	Kab. Aceh Selatan	2009	70.0
19	11	Prov. Nanggroe Aceh Darussalam	1104	Kab. Aceh Tenggara	2009	89.26
24	11	Prov. Nanggroe Aceh Darussalam	1105	Kab. Aceh Timur	2009	66.21
29	11	Prov. Nanggroe Aceh Darussalam	1106	Kab. Aceh Tengah	2009	85.32
34	11	Prov. Nanggroe Aceh Darussalam	1107	Kab. Aceh Barat	2009	29.02
39	11	Prov. Nanggroe Aceh Darussalam	1108	Kab. Aceh Besar	2009	68.98
44	11	Prov. Nanggroe Aceh Darussalam	1109	Kab. Pidie	2009	69.57
49	11	Prov. Nanggroe Aceh Darussalam	1110	Kab. Bireuen	2009	72.32
54	11	Prov. Nanggroe Aceh Darussalam	1111	Kab. Aceh Utara	2009	84.25
59	11	Prov. Nanggroe Aceh Darussalam	1112	Kab. Aceh Barat Daya	2009	60.39
64	11	Prov. Nanggroe Aceh Darussalam	1113	Kab. Gayo Lues	2009	24.55
69	11	Prov. Nanggroe Aceh Darussalam	1114	Kab. Aceh Tamiang	2009	94.12
74	11	Prov. Nanggroe Aceh Darussalam	1115	Kab. Nagan Raya	2009	58.41
79	11	Prov. Nanggroe Aceh Darussalam	1116	Kab. Aceh Jaya	2009	44.79
84	11	Prov. Nanggroe Aceh Darussalam	1117	Kab. Bener Meriah	2009	87.75
89	11	Prov. Nanggroe Aceh Darussalam	1118	Kab. Pidie Jaya	2009	95.42
94	11	Prov. Nanggroe Aceh Darussalam	1171	Kota Banda Aceh	2009	100.0
99	11	Prov. Nanggroe Aceh Darussalam	1172	Kota Sabang	2009	96.23
104	11	Prov. Nanggroe Aceh Darussalam	1173	Kota Langsa	2009	96.19
109	11	Prov. Nanggroe Aceh Darussalam	1174	Kota Lhokseumawe	2009	93.42
114	11	Prov. Nanggroe Aceh Darussalam	1175	Kota Subulussalam	2009	71.16
119	12	Prov. Sumatera Utara	1201	Kab. Nias	2009	29.83
124	12	Prov. Sumatera Utara	1202	Kab. Mandailing Natal	2009	46.57
129	12	Prov. Sumatera Utara	1203	Kab. Tapanuli Selatan	2009	62.52
134	12	Prov. Sumatera Utara	1204	Kab. Tapanuli Tengah	2009	68.7
139	12	Prov. Sumatera Utara	1205	Kab. Tapanuli Utara	2009	67.33
144	12	Prov. Sumatera Utara	1206	Kab. Toba Samosir	2009	71.56
149	12	Prov. Sumatera Utara	1207	Kab. Labuhan Batu	2009	63.88
154	12	Prov. Sumatera Utara	1208	Kab. Asahan	2009	90.37
159	12	Prov. Sumatera Utara	1209	Kab. Simalungun	2009	98.43
164	12	Prov. Sumatera Utara	1210	Kab. Dairi	2009	57.72
169	12	Prov. Sumatera Utara	1211	Kab. Karo	2009	92.81
174	12	Prov. Sumatera Utara	1212	Kab. Deli Serdang	2009	89.2
179	12	Prov. Sumatera Utara	1213	Kab. Langkat	2009	90.85
184	12	Prov. Sumatera Utara	1214	Kab. Nias Selatan	2009	21.8
189	12	Prov. Sumatera Utara	1215	Kab. Humbang Hasundutan	2009	59.47
194	12	Prov. Sumatera Utara	1216	Kab. Pakpak Bharat	2009	47.61
