	kode_provinsi	nama_provinsi	kode_kabkota	nama_kabkota	tahun	persen_kelahiran
859	33	Prov. Jawa Tengah	3301	Kab. Cilacap	2009	65.52
864	33	Prov. Jawa Tengah	3302	Kab. Banyumas	2009	77.89
869	33	Prov. Jawa Tengah	3303	Kab. Purbalingga	2009	52.61
874	33	Prov. Jawa Tengah	3304	Kab. Banjarnegara	2009	50.72
879	33	Prov. Jawa Tengah	3305	Kab. Kebumen	2009	62.03
884	33	Prov. Jawa Tengah	3306	Kab. Purworejo	2009	71.38
889	33	Prov. Jawa Tengah	3307	Kab. Wonosobo	2009	40.57
894	33	Prov. Jawa Tengah	3308	Kab. Magelang	2009	73.65
899	33	Prov. Jawa Tengah	3309	Kab. Boyolali	2009	74.6
904	33	Prov. Jawa Tengah	3310	Kab. Klaten	2009	100.0
909	33	Prov. Jawa Tengah	3311	Kab. Sukoharjo	2009	100.0
914	33	Prov. Jawa Tengah	3312	Kab. Wonogiri	2009	88.56
919	33	Prov. Jawa Tengah	3313	Kab. Karanganyar	2009	95.17
924	33	Prov. Jawa Tengah	3314	Kab. Sragen	2009	89.15
929	33	Prov. Jawa Tengah	3315	Kab. Grobogan	2009	84.73
934	33	Prov. Jawa Tengah	3316	Kab. Blora	2009	69.31
939	33	Prov. Jawa Tengah	3317	Kab. Rembang	2009	91.45
944	33	Prov. Jawa Tengah	3318	Kab. Pati	2009	85.28
949	33	Prov. Jawa Tengah	3319	Kab. Kudus	2009	88.15
954	33	Prov. Jawa Tengah	3320	Kab. Jepara	2009	54.89
959	33	Prov. Jawa Tengah	3321	Kab. Demak	2009	85.47
964	33	Prov. Jawa Tengah	3322	Kab. Semarang	2009	85.73
969	33	Prov. Jawa Tengah	3323	Kab. Temanggung	2009	67.7
974	33	Prov. Jawa Tengah	3324	Kab. Kendal	2009	69.84
979	33	Prov. Jawa Tengah	3325	Kab. Batang	2009	59.33
984	33	Prov. Jawa Tengah	3326	Kab. Pekalongan	2009	75.15
989	33	Prov. Jawa Tengah	3327	Kab. Pemalang	2009	55.63
994	33	Prov. Jawa Tengah	3328	Kab. Tegal	2009	76.75
999	33	Prov. Jawa Tengah	3329	Kab. Brebes	2009	53.24
1004	33	Prov. Jawa Tengah	3371	Kota Magelang	2009	100.0
1009	33	Prov. Jawa Tengah	3372	Kota Surakarta	2009	100.0
1014	33	Prov. Jawa Tengah	3373	Kota Salatiga	2009	90.13
1019	33	Prov. Jawa Tengah	3374	Kota Semarang	2009	94.23
1024	33	Prov. Jawa Tengah	3375	Kota Pekalongan	2009	76.89
1029	33	Prov. Jawa Tengah	3376	Kota Tegal	2009	100.0
